"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","dupe_dataset"
"BOTH",9019597,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197241",NA,NA,"Oppia nasuta Mihelcic, 1953","Mihelcic, 1953","Oppia nasuta","Oppia","nasuta",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Oppia","GBIF"
"BOTH",8829200,"c8227bb4-4143-443f-8cb2-51f9576aff14","2194436","10703214",NA,"Austrophthiracarus longisetosus Niedbala & Stary, 2015","Niedbala & Stary, 2015","Austrophthiracarus longisetosus","Austrophthiracarus","longisetosus",NA,"species",NA,"Niedbala, Wojciech & Josef Stary. 2015. Three new species of the family Phthiracaridae (Acari, Oribatida) from Bolivia. Zootaxa 3918(1): 128–140.","homotypicSynonym",NA,"Originally found in sources as accepted taxon within Austrophthiracarus Balogh J. & Mahunka, 1978","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophorella","GBIF"
"BOTH",2194382,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,NA,"Hoplophthiracarus rafalskii (Niedbala, 1997)","(Niedbala, 1997)","Hoplophthiracarus rafalskii","Hoplophthiracarus","rafalskii",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",2194374,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,"9135371","Hoplophthiracarus baculus (Liu, Wu & Chen, 2014)","(Liu, Wu & Chen, 2014)","Hoplophthiracarus baculus","Hoplophthiracarus","baculus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",2194366,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,NA,"Hoplophthiracarus foveolatus Aoki, 1980","Aoki, 1980","Hoplophthiracarus foveolatus","Hoplophthiracarus","foveolatus",NA,"species",NA,NA,"accepted",NA,"Possible variant of Hoplophthiracarus foveolatus (Liu, Wu & Chen, 2011)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",10459982,"f239c787-e431-4a16-8df8-0acf9699b055","4336765",NA,NA,"Halolaelaps nodosus Berlese & Trouessart, 1889","Berlese & Trouessart, 1889","Halolaelaps nodosus","Halolaelaps","nodosus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Halolaelaps nodosus Willmann, 1952","Animalia","Arthropoda","Arachnida","Mesostigmata","Halolaelapidae","Halolaelaps","GBIF"
"BOTH",5175346,"7ddf754f-d193-4cc9-b351-99906754a03b","2197241",NA,NA,"Oppia hungarica Karpelles, 1893","Karpelles, 1893","Oppia hungarica","Oppia","hungarica",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Oppia","GBIF"
"BOTH",5175179,"c33ce2f2-c3cc-43a5-a380-fe4526d63650","2197241",NA,NA,"Damaeus setiger (Woolley, 1971)","(Woolley, 1971)","Damaeus setiger","Damaeus","setiger",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Damaeus setiger (Kulczynski, 1902)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Oppia","GBIF"
"BOTH",2194351,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,NA,"Hoplophthiracarus cristatus (Aoki, 1980)","(Aoki, 1980)","Hoplophthiracarus cristatus","Hoplophthiracarus","cristatus",NA,"species",NA,NA,"accepted",NA,"Possible variant of Hoplophthiracarus cristatus (Liu, Wu & Chen, 2011)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",4337005,"2d59e5db-57ad-41ff-97d6-11f5fb264527","2180799",NA,NA,"Scaptognathus punctatus Bartsch, 1981","Bartsch, 1981","Scaptognathus punctatus","Scaptognathus","punctatus",NA,"species",NA,"Bartsch, I., 1981. Halacaridae (Acari) aus dem Kanal von Moçambique. Cah. Biol. mar. 22, 35-63","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae","Scaptognathus","GBIF"
"BOTH",8810566,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197241",NA,NA,"Oppia simplex Mihelcic, 1956","Mihelcic, 1956","Oppia simplex","Oppia","simplex",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Oppia","GBIF"
"BOTH",9790896,"7ddf754f-d193-4cc9-b351-99906754a03b","2197820",NA,NA,"Anachipteria acuta (Ewing, 1918)","(Ewing, 1918)","Anachipteria acuta","Anachipteria","acuta",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Achipteriidae","Anachipteria","GBIF"
"BOTH",4548291,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","4336765",NA,NA,"Halolaelaps nodosus Willmann, 1952","Willmann, 1952","Halolaelaps nodosus","Halolaelaps","nodosus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Halolaelapidae","Halolaelaps","GBIF"
"BOTH",4540869,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","4540862",NA,NA,"Allothrombium minutum Feider, 1950","Feider, 1950","Allothrombium minutum","Allothrombium","minutum",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Trombidiidae","Allothrombium","GBIF"
"BOTH",9233472,"4b7c1390-937e-4d41-82c6-948f828ee497","4336748",NA,NA,"Pachylaelaps pyrenaicus Berlese, 1888","Berlese, 1888","Pachylaelaps pyrenaicus","Pachylaelaps","pyrenaicus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Pachylaelaps pyrenaicus Mašán, Özbek & Fenda, 2016","Animalia","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae","Pachylaelaps","GBIF"
"BOTH",9539817,"4b7c1390-937e-4d41-82c6-948f828ee497","4336748",NA,NA,"Pachylaelaps brevipilis Berlese, 1888","Berlese, 1888","Pachylaelaps brevipilis","Pachylaelaps","brevipilis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Pachylaelaps brevipilis Mašán, Özbek & Fenda, 2016","Animalia","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae","Pachylaelaps","GBIF"
"BOTH",4548699,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","4336758","4548693",NA,"Leioseius denticulosus Hirschmann, 1962","Hirschmann, 1962","Leioseius denticulosus","Leioseius","denticulosus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Ascidae","Arctoseius","GBIF"
"BOTH",4545688,"de8934f4-a136-481c-a87a-b0b202b80a31","2197743","2197745","4545689","Conchogneta delacarlica (Forsslund, 1947)","(Forsslund, 1947)","Conchogneta delacarlica","Conchogneta","delacarlica",NA,"species",NA,NA,"heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Autognetidae","Conchogneta","GBIF"
"BOTH",2197821,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197836","2197839","2197839","Anachipteria acuta (Berlese, 1908)","(Berlese, 1908)","Anachipteria acuta","Anachipteria","acuta",NA,"species",NA,NA,"homotypicSynonym",NA,"Originally found in sources as accepted taxon within Anachipteria Grandjean, 1932","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Achipteriidae","Achipteria","GBIF"
"BOTH",7412774,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","2198501","2198514",NA,"Oribates orbicularis C.L.Koch, 1835","C.L.Koch, 1835","Oribates orbicularis","Oribates","orbicularis",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ceratozetidae","Sphaerozetes","GBIF"
"BOTH",4547395,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","8962540","4547394",NA,"Dermaleichus oscinum Megnin, 1877","Megnin, 1877","Dermaleichus oscinum","Dermaleichus","oscinum",NA,"species",NA,NA,"heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Psoroptoididae","Mesalgoides","GBIF"
"BOTH",10460281,"89d0de5b-8558-4f89-9c8b-ab6a456d8909","4336758",NA,NA,"Arctoseius koltschaki Thor, 1930","Thor, 1930","Arctoseius koltschaki","Arctoseius","koltschaki",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Arctoseius koltschaki Makarova & Lindquist, 2013","Animalia","Arthropoda","Arachnida","Mesostigmata","Ascidae","Arctoseius","GBIF"
"BOTH",9266399,"4d1f9f2e-888a-4b78-93b4-2a2fd6269bac","8500874",NA,NA,"Gaeolaelaps izajiensis Evans & Till, 1966","Evans & Till, 1966","Gaeolaelaps izajiensis","Gaeolaelaps","izajiensis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Gaeolaelaps izajiensis Saeidi, Nemati & Khalili-Moghadam, 2016","Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Gaeolaelaps","GBIF"
"BOTH",10548652,"c4b30db7-8306-427d-9d2e-3b88e4f9ddfd","8500874",NA,NA,"Gaeolaelaps iranicus Evans & Till, 1966","Evans & Till, 1966","Gaeolaelaps iranicus","Gaeolaelaps","iranicus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Gaeolaelaps iranicus Kavianpour & Nemati, 2013","Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Gaeolaelaps","GBIF"
