"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","dupe_dataset"
"BOTH",2187403,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus ornatus (Athias-Henriot, 1957)","(Athias-Henriot, 1957)","Neoseiulus ornatus","Neoseiulus","ornatus",NA,"species",NA,"Athias-Henriot, C. Typhlodromus ornatus n. sp. et Typhlodromus longilaterus n. sp. (Acarina: Phytoseiidae) mesostigmates predateurs d' Algerie. Revue de Pathologie Vegetale et d’Entomologie Agricole de France, France, 36(4), 215–222. (1957).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",2193518,"7ddf754f-d193-4cc9-b351-99906754a03b","2193416",NA,NA,"Galumna monticola (Balakrishnan, 1985)","(Balakrishnan, 1985)","Galumna monticola","Galumna","monticola",NA,"species",NA,NA,"accepted",NA,"Possible variant of Galumna monticola Hammer, 1977","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Galumnidae","Galumna","GBIF"
"BOTH",9247203,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","3240921","5175239",NA,"Acarus geniculatus Johnston, 1849","Johnston, 1849","Acarus geniculatus","Acarus","geniculatus",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Damaeidae","Damaeus","GBIF"
"BOTH",2193565,"7ddf754f-d193-4cc9-b351-99906754a03b","2193416",NA,NA,"Galumna pallida Hammer, 1958","Hammer, 1958","Galumna pallida","Galumna","pallida",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Galumnidae","Galumna","GBIF"
"BOTH",2187290,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus crataegi (Jorgensen & Chant, 1960)","(Jorgensen & Chant, 1960)","Neoseiulus crataegi","Neoseiulus","crataegi",NA,"species",NA,"Jorgensen, C.D. & Chant, D.A. A new species of Typhlodromus (Acarina: Phytoseiidae) from Oregon. Entomological News, Philadelphia, USA, 71(6), 161–163. (1960).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",8729622,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2190094",NA,NA,"Scheloribates robustus Mihelcic, 1968","Mihelcic, 1968","Scheloribates robustus","Scheloribates","robustus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Scheloribates robustus Pletzen, 1963","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Scheloribatidae","Scheloribates","GBIF"
"BOTH",2187395,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,NA,"Neoseiulus montanus (Wainstein, 1962)","(Wainstein, 1962)","Neoseiulus montanus","Neoseiulus","montanus",NA,"species",NA,"Wainstein, B.A. Some new predatory mites of the family Phytoseiidae (Parasitiformes) of the USSR fauna. Entomologicheskoe Obozrenie, Russia, 41, 230–240 [in Russian]; Entomological Review, Russia, 41, 139–146 [English translation]. (1962).","accepted",NA,"Possible variant of Neoseiulus montanus Tuttle & Muma, 1973","Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",2198516,"7ddf754f-d193-4cc9-b351-99906754a03b","2198501",NA,NA,"Sphaerozetes subintectus Sellnick, 1931","Sellnick, 1931","Sphaerozetes subintectus","Sphaerozetes","subintectus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ceratozetidae","Sphaerozetes","GBIF"
"BOTH",6921510,"da957853-f720-404d-b32c-1858a3b0108f","4652687",NA,NA,"Syringophilopsis dendroicae Bochkov & Galloway, 2001","Bochkov & Galloway, 2001","Syringophilopsis dendroicae","Syringophilopsis","dendroicae",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Syringophilopsis dendroicae B GSS, 2010","Animalia","Arthropoda","Arachnida","Trombidiformes","Syringophilidae","Syringophilopsis","GBIF"
"BOTH",10383695,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","4406934",NA,NA,"Pachyseius subhumeralis Mašán, 2018","Mašán, 2018","Pachyseius subhumeralis","Pachyseius","subhumeralis",NA,"species",NA,"Mašán, Peter. 2018. A morphological re-evaluation of Pachyseius humeralis Berlese, 1910 (Acari, Mesostigmata, Pachylaelapidae). ZooKeys 790: 35-44.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae","Pachyseius","GBIF"
"BOTH",10152379,"70a21e74-385e-4a34-9c0d-76ea381fd44a","6756879",NA,NA,"Celaeno aegrota Grube, 1859","Grube, 1859","Celaeno aegrota","Celaeno","aegrota",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Parasitidae","Celaeno","GBIF"
"BOTH",10071203,"c8227bb4-4143-443f-8cb2-51f9576aff14","4407722",NA,NA,"Trematurella elegans Trägårdh, 2018","Trägårdh, 2018","Trematurella elegans","Trematurella","elegans",NA,"species",NA,"Bloszyk, Jerzy, Zbigniew Adamski & Agnieszka Napierala. 2018. Survey of European mites from the suborder Uropodina: II. Morphology, geographical distribution, biology, and ecology of Trematurella elegans (Kramer, 1882). Acarologia 58(3): 683-709.","doubtful",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Trematuridae","Trichouropoda","GBIF"
"BOTH",2196535,"7ddf754f-d193-4cc9-b351-99906754a03b","2196531",NA,NA,"Lyroppia delicata Wang & Lu, 1995","Wang & Lu, 1995","Lyroppia delicata","Lyroppia","delicata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Lyroppiidae","Lyroppia","GBIF"
"BOTH",2188005,"7ddf754f-d193-4cc9-b351-99906754a03b","2188004",NA,NA,"Typhlodromalus aripo De Leon, 1967","De Leon, 1967","Typhlodromalus aripo","Typhlodromalus","aripo",NA,"species",NA,"De Leon, D. Some mites of the Caribbean Area. Part I. Acarina on plants in Trinidad, West Indies. Allen Press Inc., Lawrence, Kansas, USA, pp. 1–66. (1967).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Typhlodromalus","GBIF"
"BOTH",2190163,"7ddf754f-d193-4cc9-b351-99906754a03b","2190094",NA,NA,"Scheloribates robustus Pletzen, 1963","Pletzen, 1963","Scheloribates robustus","Scheloribates","robustus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Scheloribatidae","Scheloribates","GBIF"
"BOTH",7897282,"06248ae3-5b57-4093-b820-34cb8c988cd2","2180519",NA,NA,"Protzia rotunda Gerecke, 1996","Gerecke, 1996","Protzia rotunda","Protzia","rotunda",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Protzia rotunda Walter, 1908","Animalia","Arthropoda","Arachnida","Trombidiformes","Hydryphantidae","Protzia","GBIF"
"BOTH",9108444,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2198501",NA,NA,"Sphaerozetes subintectus Berlese, 1908","Berlese, 1908","Sphaerozetes subintectus","Sphaerozetes","subintectus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Sphaerozetes subintectus Sellnick, 1931","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Ceratozetidae","Sphaerozetes","GBIF"
"BOTH",4540098,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","2180519",NA,NA,"Protzia rotunda Walter, 1908","Walter, 1908","Protzia rotunda","Protzia","rotunda",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Hydryphantidae","Protzia","GBIF"
"BOTH",9945082,"4cec8fef-f129-4966-89b7-4f8439aba058","4652687",NA,NA,"Syringophilopsis dendroicae B GSS, 2010","B GSS, 2010","Syringophilopsis dendroicae","Syringophilopsis","dendroicae",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Syringophilidae","Syringophilopsis","GBIF"
"BOTH",9892716,"a0fc65ba-3abf-4f9a-8b0e-875828e59b69","4406934",NA,NA,"Pachyseius subhumeralis Berlese, 1910","Berlese, 1910","Pachyseius subhumeralis","Pachyseius","subhumeralis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Pachyseius subhumeralis Mašán, 2018","Animalia","Arthropoda","Arachnida","Mesostigmata","Pachylaelapidae","Pachyseius","GBIF"
"BOTH",8760941,"de8934f4-a136-481c-a87a-b0b202b80a31","4406135","4548724",NA,"Cyrtolaelaps kochi Trägårdh, 1901","Trägårdh, 1901","Cyrtolaelaps kochi","Cyrtolaelaps","kochi",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Veigaiidae","Veigaia","GBIF"
"BOTH",9023138,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197836","2197853",NA,"Notaspis quadridentata Willmann, 1951","Willmann, 1951","Notaspis quadridentata","Notaspis","quadridentata",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Achipteriidae","Achipteria","GBIF"
"BOTH",9210806,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","7534409","4548438",NA,"Typhlodromus gracilentus Bernhard, 1963","Bernhard, 1963","Typhlodromus gracilentus","Typhlodromus","gracilentus",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Amblyseius","GBIF"
"BOTH",9815594,"7ddf754f-d193-4cc9-b351-99906754a03b","2187232",NA,"4548424","Neoseiulus reductus (Wainstein, 1962)","(Wainstein, 1962)","Neoseiulus reductus","Neoseiulus","reductus",NA,"species",NA,"Wainstein, B.A. Some new predatory mites of the family Phytoseiidae (Parasitiformes) of the USSR fauna. Entomologicheskoe Obozrenie, Russia, 41, 230–240 [in Russian]; Entomological Review, Russia, 41, 139–146 [English translation]. (1962).","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Neoseiulus","GBIF"
"BOTH",4547067,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,NA,"Hoplophthiracarus heterotrichus Mahunka, 1979","Mahunka, 1979","Hoplophthiracarus heterotrichus","Hoplophthiracarus","heterotrichus",NA,"species",NA,NA,"accepted",NA,"Possible variant of Hoplophthiracarus heterotrichus (Mahunka, 1984)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",9101728,"c8227bb4-4143-443f-8cb2-51f9576aff14","4661058",NA,NA,"Timalinyssus wahlangi Constantinescu, Chisamera, Mukhim & Adam, 2016","Constantinescu, Chisamera, Mukhim & Adam, 2016","Timalinyssus wahlangi","Timalinyssus","wahlangi",NA,"species",NA,"Constantinescu, Ioana C., Gabriel Chisamera, D. K. B. Mukhim & Costica Adam. 2016. A new species of the genus Timalinyssus Mironov, 2001 (Acarina, Psoroptidia) with a key to known species. ZooKeys 557: 45–57.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Pteronyssidae","Timalinyssus","GBIF"
"BOTH",9119944,"c8227bb4-4143-443f-8cb2-51f9576aff14","4663873",NA,NA,"Julolaelaps hallidayi Nemati, Riahi & Gwiazdowicz, 2015","Nemati, Riahi & Gwiazdowicz, 2015","Julolaelaps hallidayi","Julolaelaps","hallidayi",NA,"species",NA,"Nemati, Alireza, Elham Riahi & Dariusz J. Gwiazdowicz. 2015. Description of a new species of Julolaelaps (Acari, Mesostigmata, Laelapidae) from Iran. ZooKeys 526: 105–116.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Julolaelaps","GBIF"
"BOTH",5174768,"7ddf754f-d193-4cc9-b351-99906754a03b","2192417",NA,NA,"Nothrus crinitus (Berlese, 1916)","(Berlese, 1916)","Nothrus crinitus","Nothrus","crinitus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Nothridae","Nothrus","GBIF"
"BOTH",9316240,"4538d2e3-d0f7-45db-8cd8-79dd71236048","4663873",NA,NA,"Julolaelaps hallidayi Berlese, 1917","Berlese, 1917","Julolaelaps hallidayi","Julolaelaps","hallidayi",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Julolaelaps hallidayi Nemati, Riahi & Gwiazdowicz, 2015","Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Julolaelaps","GBIF"
"BOTH",9620625,"32b90a20-a3e6-4a5b-92e9-c0a7bbfd39ef","4406432",NA,NA,"Nenteria bastanii Oudemans, 1915","Oudemans, 1915","Nenteria bastanii","Nenteria","bastanii",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Nenteria bastanii Kazemi & Abolghasemi, 2016","Animalia","Arthropoda","Arachnida","Mesostigmata","Trematuridae","Nenteria","GBIF"
"BOTH",6897071,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2197395","2197414",NA,"Oppia nasuta Moritz, 1965","Moritz, 1965","Oppia nasuta","Oppia","nasuta",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Oppiidae","Rhinoppia","GBIF"
"BOTH",2192103,"7ddf754f-d193-4cc9-b351-99906754a03b","2192088",NA,NA,"Hermanniella serrata Sitnikova, 1973","Sitnikova, 1973","Hermanniella serrata","Hermanniella","serrata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Hermanniellidae","Hermanniella","GBIF"
"BOTH",8998910,"c8227bb4-4143-443f-8cb2-51f9576aff14","4406432",NA,NA,"Nenteria bastanii Kazemi & Abolghasemi, 2016","Kazemi & Abolghasemi, 2016","Nenteria bastanii","Nenteria","bastanii",NA,"species",NA,"Kazemi, Shahrooz & Somayeh Abolghasemi. 2016. New species and records of Uropodina mites from Iran (Acari, Mesostigmata). ZooKeys 600: 25-34.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Trematuridae","Nenteria","GBIF"
"BOTH",9576859,"fd522cc0-ca91-4ead-a904-0f24d4e510be","4661058",NA,NA,"Timalinyssus wahlangi Mironov, 2001","Mironov, 2001","Timalinyssus wahlangi","Timalinyssus","wahlangi",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Timalinyssus wahlangi Constantinescu, Chisamera, Mukhim & Adam, 2016","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Pteronyssidae","Timalinyssus","GBIF"
"BOTH",5174896,"7ddf754f-d193-4cc9-b351-99906754a03b","3253500",NA,NA,"Heterochthonius caucasicus Krivolutsky, 1977","Krivolutsky, 1977","Heterochthonius caucasicus","Heterochthonius","caucasicus",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Heterochthoniidae","Heterochthonius","GBIF"
"BOTH",7985128,"0e61f8fe-7d25-4f81-ada7-d970bbb2c6d6","2197836","4546783",NA,"Oribata nitens Nicolet, 1855","Nicolet, 1855","Oribata nitens","Oribata","nitens",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Achipteriidae","Achipteria","GBIF"
"BOTH",4337793,"2d59e5db-57ad-41ff-97d6-11f5fb264527","2180773","4337792",NA,"Rhombognathus magnirostris lionyx Trouessart, 1899","Trouessart, 1899","Rhombognathus magnirostris lionyx","Rhombognathus","magnirostris","lionyx","subspecies",NA,"Trouessart, E. (1899). Description d' espèces nouvelles d'Halacaridae. <em>Bull. Soc. étud. scient. Angers.</em> 29: 209-223.","synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae","Rhombognathus","GBIF"
"BOTH",2194151,"7ddf754f-d193-4cc9-b351-99906754a03b","2194148",NA,NA,"Furcoppia dentata Grobler, 2003","Grobler, 2003","Furcoppia dentata","Furcoppia","dentata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Astegistidae","Furcoppia","GBIF"
"BOTH",10228911,"de8934f4-a136-481c-a87a-b0b202b80a31","2188311","2188337",NA,"Brachychthonius clavatus Forsslund, 1942","Forsslund, 1942","Brachychthonius clavatus","Brachychthonius","clavatus",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Brachychthoniidae","Liochthonius","GBIF"
"BOTH",8747883,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2198062","2198068",NA,"Eremaeus ovalis Berlese, 1887","Berlese, 1887","Eremaeus ovalis","Eremaeus","ovalis",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Scutoverticidae","Scutovertex","GBIF"
"BOTH",7400763,"2d59e5db-57ad-41ff-97d6-11f5fb264527","2198062","2198068",NA,"Cepheus minutus C.L.Koch, 1835","C.L.Koch, 1835","Cepheus minutus","Cepheus","minutus",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Scutoverticidae","Scutovertex","GBIF"
"BOTH",9304632,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2193901","2193996",NA,"Leiosoma globosum Berlese, 1855","Berlese, 1855","Leiosoma globosum","Leiosoma","globosum",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Liacaridae","Liacarus","GBIF"
"BOTH",7411328,"90d9e8a6-0ce1-472d-b682-3451095dbc5a","2193901","2193996",NA,"Oribates subterraneus C.L.Koch, 1841","C.L.Koch, 1841","Oribates subterraneus","Oribates","subterraneus",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Liacaridae","Liacarus","GBIF"
"BOTH",4548580,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2188220","4548579",NA,"Lasioseius salinus Halbert, 1920","Halbert, 1920","Lasioseius salinus","Lasioseius","salinus",NA,"species",NA,NA,"homotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Ascidae","Leioseius","GBIF"
"BOTH",10669396,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2192636","2192646",NA,"Nothrus scabrus Koch, 1879","Koch, 1879","Nothrus scabrus","Nothrus","scabrus",NA,"species",NA,NA,"proparte synonym",NA,"Originally found in sources as proparte synonym of Hermannia subglabra Berlese, 1910","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Hermanniidae","Hermannia","GBIF"
"BOTH",2196151,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2196148",NA,NA,"Metabelba papillipes (Van der Hammen, 1952)","(Van der Hammen, 1952)","Metabelba papillipes","Metabelba","papillipes",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Metabelba papillipes (Nicolet, 1855)","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Damaeidae","Metabelba","GBIF"
"BOTH",9153991,"c8227bb4-4143-443f-8cb2-51f9576aff14","4407913",NA,NA,"Monatractides abei Pešic, Semenchenko & Lee, 2013","Pešic, Semenchenko & Lee, 2013","Monatractides abei","Monatractides","abei",NA,"species",NA,"Pešic, Vladimir, Ksenia A. Semenchenko & Wonchoel Lee. 2013. Torrenticolid water mites from Korea and the Russian Far East. ZooKeys 299: 21–48.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Torrenticolidae","Monatractides","GBIF"
"BOTH",9198965,"c8227bb4-4143-443f-8cb2-51f9576aff14","4655668",NA,NA,"Pedanodectes angustilobus Constantinescu, 2014","Constantinescu, 2014","Pedanodectes angustilobus","Pedanodectes","angustilobus",NA,"species",NA,"Constantinescu, Ioana C., Gabriel Chisamera, Khlur B. Mukhim & Costica Adam. 2014. A new species of pterodectine feather mites (Acarina, Analgoidea, Proctophyllodidae) from the Little Spiderhunter Arachnothera longirostra (Passeriformes, Nectariniidae) in Meghalaya, India. ZooKeys 425: 1-13.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Proctophyllodidae","Pedanodectes","GBIF"
"BOTH",10332904,"d4af487b-4818-47c9-aeb7-41fc2eb4d486","4407913",NA,NA,"Monatractides abei Viets, 1926","Viets, 1926","Monatractides abei","Monatractides","abei",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Monatractides abei Pešic, Semenchenko & Lee, 2013","Animalia","Arthropoda","Arachnida","Trombidiformes","Torrenticolidae","Monatractides","GBIF"
"BOTH",10398461,"f4045b06-62d4-4b3c-be4a-0ed1d5fb878e","4655668",NA,NA,"Pedanodectes angustilobus Park & Atyeo, 1971","Park & Atyeo, 1971","Pedanodectes angustilobus","Pedanodectes","angustilobus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Pedanodectes angustilobus Constantinescu, 2014","Animalia","Arthropoda","Arachnida","Sarcoptiformes","Proctophyllodidae","Pedanodectes","GBIF"
"BOTH",4652727,"c8227bb4-4143-443f-8cb2-51f9576aff14","2180698",NA,NA,"Limnesia reptans Hopkins, 1966","Hopkins, 1966","Limnesia reptans","Limnesia","reptans",NA,"species",NA,"Hopkins, C. L. 1966. A new species of Limnesia (Acari, Hydrachnellae) from New Zealand. Transactions of the Royal Society of New Zealand, zoology 8(1): 1-4.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Limnesiidae","Limnesia","GBIF"
"BOTH",2194499,"7ddf754f-d193-4cc9-b351-99906754a03b","2194436",NA,NA,"Hoplophorella rafalskii (Niedbala, 1997)","(Niedbala, 1997)","Hoplophorella rafalskii","Hoplophorella","rafalskii",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophorella","GBIF"
"BOTH",5175121,"7ddf754f-d193-4cc9-b351-99906754a03b","2194344","10984002",NA,"Notophthiracarus rafalskii (Niedbala, 1997)","(Niedbala, 1997)","Notophthiracarus rafalskii","Notophthiracarus","rafalskii",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Phthiracaridae","Hoplophthiracarus","GBIF"
"BOTH",10610334,"7ddf754f-d193-4cc9-b351-99906754a03b","2196148",NA,"5775367","Metabelba papillipes (Nicolet, 1855)","(Nicolet, 1855)","Metabelba papillipes","Metabelba","papillipes",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Damaeidae","Metabelba","GBIF"
"BOTH",10421082,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","2188226","2188228",NA,"Lasioseius similis Schweizer, 1949","Schweizer, 1949","Lasioseius similis","Lasioseius","similis",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Blattisociidae","Blattisocius","GBIF"
"BOTH",2187179,"7ddf754f-d193-4cc9-b351-99906754a03b","7499912","2187178",NA,"Euseius pruni (Oudemans, 1929)","(Oudemans, 1929)","Euseius pruni","Euseius","pruni",NA,"species",NA,"Oudemans, A.C. Acarologische Aanteekeningen. C. Entomologische Berichten, The Netherlands, 8, 28–36. (1929).","heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Phytoseiidae","Euseius","GBIF"
"BOTH",7391715,"2d59e5db-57ad-41ff-97d6-11f5fb264527","2180728","4337671",NA,"Halacarus lohmanni Trouessart, 1889","Trouessart, 1889","Halacarus lohmanni","Halacarus","lohmanni",NA,"species",NA,"Trouessart, E. (1889). Revue synoptique de la famille des Halacaridae. <em>Bull. scient. Fr. Belg.</em> 20: 225-251.","synonym",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Halacaridae","Copidognathus","GBIF"
"BOTH",9034138,"4dd32523-a3a3-43b7-84df-4cda02f15cf7","3252750","6900164",NA,"Pterolichus major Canestrini, 1879","Canestrini, 1879","Pterolichus major","Pterolichus","major",NA,"species",NA,NA,"heterotypicSynonym",NA,NA,"Animalia","Arthropoda","Arachnida","Sarcoptiformes","Kramerellidae","Kramerella","GBIF"
"BOTH",8774778,"c8227bb4-4143-443f-8cb2-51f9576aff14","4666034",NA,NA,"Neocarus proteus Bernardi, Klompen, Zacarias & Ferreira, 2013","Bernardi, Klompen, Zacarias & Ferreira, 2013","Neocarus proteus","Neocarus","proteus",NA,"species",NA,"Bernardi, Leopoldo, Hans Klompen, M. S. Zacarias & Rodrigo L. Ferreira. 2013. A new species of Neocarus Chamberlin & Mulaik, 1942 (Opilioacarida, Opilioacaridae) from Brazil, with remarks on its postlarval development. ZooKeys 358: 69-89.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Opilioacarida","Opilioacaridae","Neocarus","GBIF"
"BOTH",5173779,"9ca92552-f23a-41a8-a140-01abaa31c931","2180393",NA,NA,"Neumania armata Marshall, 1922","Marshall, 1922","Neumania armata","Neumania","armata",NA,"species",NA,NA,"accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Trombidiformes","Unionicolidae","Neumania","GBIF"
"BOTH",10496086,"65c029b1-f940-4350-8562-cf5fdc55a0e3","8883159",NA,NA,"Laelaspis elongatus A.Berlese, 1903","A.Berlese, 1903","Laelaspis elongatus","Laelaspis","elongatus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Laelaspis elongatus Kazemi, Mehrzad & Latifi, 2016","Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Laelaspis","GBIF"
"BOTH",9894013,"68525956-cdc9-488a-8f77-b737d6acd792","4666034",NA,NA,"Neocarus proteus Chamberlin & Mulaik, 1942","Chamberlin & Mulaik, 1942","Neocarus proteus","Neocarus","proteus",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Neocarus proteus Bernardi, Klompen, Zacarias & Ferreira, 2013","Animalia","Arthropoda","Arachnida","Opilioacarida","Opilioacaridae","Neocarus","GBIF"
"BOTH",8730912,"c8227bb4-4143-443f-8cb2-51f9576aff14","8883159",NA,NA,"Laelaspis elongatus Kazemi, Mehrzad & Latifi, 2016","Kazemi, Mehrzad & Latifi, 2016","Laelaspis elongatus","Laelaspis","elongatus",NA,"species",NA,"Kazemi, Shahrooz, Nazanin Mehrzad & Malihe Latifi. 2016. Description of a new species of the genus Laelaspis Berlese (Acari, Mesostigmata, Laelapidae) from Iran. ZooKeys 549: 145–155.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Laelaspis","GBIF"
"BOTH",9116170,"c8227bb4-4143-443f-8cb2-51f9576aff14","8883159",NA,NA,"Laelaspis dariusi Joharchi & Jalaeian, 2012","Joharchi & Jalaeian, 2012","Laelaspis dariusi","Laelaspis","dariusi",NA,"species",NA,"Joharchi, Omid, Mahdi Jalaeian, Saeed Paktinat-Saeej & Azadeh Ghafarian. 2012. A new species and new records of Laelaspis Berlese (Acari, Laelapidae) from Iran. ZooKeys 208: 17-25.","accepted",NA,NA,"Animalia","Arthropoda","Arachnida","Mesostigmata","Laelapidae","Laelaspis","GBIF"
