"source","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",21,NA,NA,NA,NA,NA,NA,NA,"Neocnemidocoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Neocnemidocoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Neocnemidocoptes"
"UMZM",28,NA,NA,NA,NA,NA,NA,NA,"Picicnemidocoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Picicnemidocoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Picicnemidocoptes"
"UMZM",31,NA,NA,NA,NA,NA,NA,NA,"Procnemidocoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Knemidokoptinae",NA,NA,"Procnemidocoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Procnemidocoptes"
"UMZM",33,NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptinae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Lukoschuscoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptinae"
"UMZM",34,NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptes",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Lukoschuscoptinae",NA,NA,"Lukoschuscoptes",NA,NA,NA,"genus",NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptes"
"UMZM",36,NA,NA,NA,NA,NA,NA,NA,"Endeostigmata",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suborder",NA,NA,NA,NA,NA,NA,NA,"Endeostigmata"
"UMZM",37,NA,NA,NA,NA,NA,NA,NA,"Alicorhagiida",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,NA,NA,NA,NA,NA,NA,"Alicorhagiida"
"UMZM",38,NA,NA,NA,NA,NA,NA,NA,"Alicorhagioidea",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,"Alicorhagioidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,NA,NA,NA,NA,NA,NA,"Alicorhagioidea"
"UMZM",39,NA,NA,NA,NA,NA,NA,NA,"Alicorhagiidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,"Alicorhagioidea","Alicorhagiidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,NA,NA,NA,"Alicorhagiidae"
"UMZM",40,NA,NA,NA,NA,NA,NA,NA,"Bimichaliida",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,NA,NA,NA,NA,NA,NA,"Bimichaliida"
"UMZM",41,NA,NA,NA,NA,NA,NA,NA,"Alycoidea",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,NA,NA,NA,NA,NA,NA,"Alycoidea"
"UMZM",42,NA,NA,NA,NA,NA,NA,NA,"Alycidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Alycidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,NA,NA,NA,"Alycidae"
"UMZM",43,NA,NA,NA,NA,NA,NA,NA,"Nanorchestidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Nanorchestidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,NA,NA,NA,"Nanorchestidae"
"UMZM",44,NA,NA,NA,NA,NA,NA,NA,"Proterorhagiidae",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Proterorhagiidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,NA,NA,NA,NA,NA,NA,"Proterorhagiidae"
"UMZM",45,NA,NA,NA,NA,NA,NA,NA,"Nematalycina",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,NA,NA,NA,NA,NA,NA,"Nematalycina"
"UMZM",46,NA,NA,NA,NA,NA,NA,NA,"Nematalycoidea",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,"Nematalycoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,NA,NA,NA,NA,NA,NA,"Nematalycoidea"
