"compared_names","similar_names"
"Parhypochthonioidea","Parhypochthoniidae"
"Anystina","Anystidae"
"Anystae","Anystidae"
"Adamystoidea","Adamystidae"
"Anystoidea","Anystidae"
"Caeculoidea","Caeculidae"
"Paratydeoidea","Paratydeidae"
"Pomerantzioidea","Pomerantziidae"
"Allotanaupodoidea","Allotanaupodidae"
"Amphotrombioidea","Amphotrombiidae"
"Arrenuroidea","Arrenuridae"
"Gretacaridae","Arctacaridae"
"Mideidae","Tydeidae"
"Neoacaridae","Cloacaridae"
"Calyptostomatoidea","Calyptostomatidae"
"Chyzerioidea","Chyzeriidae"
"Erythraeoidea","Erythraeidae"
"Eylaoidea","Eylaidae"
"Hydrachnoidea","Hydrachnidae"
"Hydrovolzioidea","Hydrovolziidae"
"Hydryphantoidea","Hydryphantidae"
"Hygrobatoidea","Hygrobatidae"
"Lebertioidea","Lebertiidae"
"Tanaupodoidea","Tanaupodidae"
"Trombidioidea","Trombidiidae"
"Yurebilloidea","Yurebillidae"
"Cloacaroidea","Cloacaridae"
"Dolichocyboidea","Dolichocybidae"
"Heterocheyloidea","Heterocheylidae"
"Pyemotoidea","Pyemotidae"
"Pygmephoroidea","Pygmephoridae"
"Tarsocheyloidea","Tarsocheylidae"
"Tarsonemoidea","Tarsonemidae"
"Trochometridioidea","Trochometridiidae"
"Raphignathina","Raphignathidae"
"Cheyletoidea","Cheyletidae"
"Cheyletoidea","Cheletoides"
"Cheyletiellinae","Cheyletiellini"
"Acaropsellini","Acaropsellina"
"Acaropsella","Acaropsellina"
"Picocheyletus","Nidocheyletus"
"Cheyletiini","Cheyletini"
"Cheyletia","Cheyletidae"
"Cheyletia","Cheyletini"
"Cheyletia","Cheyletus"
"Hypopicheyla","Hylopecheyla"
"Cheletacarus","Chelonacarus"
"Cheletophanes","Cheletophyes"
"Ker","Tur"
"Harpirhynchidae","Harpirhynchinae"
"Harpirhynchini","Harpirhynchinae"
"Anharpyrhynchus","Neharpyrhynchus"
"Metharpyrhynchus","Neharpyrhynchus"
"Metharpyrhynchus","Perharpyrhynchus"
"Syringophilidae","Syringophilinae"
"Phipicobia","Pipicobia"
"Cloacarinae","Cloacaridae"
"Myobioidea","Myobiidae"
"Myobiinae","Myobiidae"
"Anuncomyobia","Suncomyobia"
"Angomyobia","Acomyobia"
"Angomyobia","Afromyobia"
"Otomyobia","Acomyobia"
"Pterygosomatoidea","Pterygosomatidae"
"Raphignathoidea","Raphignathidae"
"Tetranychoidea","Tetranychidae"
"Eupodina","Eupodidae"
"Bdelloidea","Bdellidae"
"Eriophyoidea","Eriophyidae"
"Eupodoidea","Eupodidae"
"Penthaleidae","Penthalodidae"
"Halacaroidea","Halacaridae"
"Pezidae","Sejidae"
"Tydeoidea","Tydeidae"
