"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",33,NA,NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptinae OConnor, Klompen & Lombert, 1987",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Lukoschuscoptinae",NA,NA,NA,NA,NA,NA,"subfamily",NA,"OConnor, Klompen & Lombert, 1987",NA,NA,NA,NA,NA,"Lukoschuscoptinae"
"UMZM",34,NA,NA,NA,NA,NA,NA,NA,NA,"Lukoschuscoptes OConnor, Klompen & Lombert, 1987",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes",NA,NA,NA,NA,"Knemidokoptidae","Lukoschuscoptinae",NA,NA,"Lukoschuscoptes",NA,NA,NA,"genus",NA,"OConnor, Klompen & Lombert, 1987",NA,NA,NA,NA,NA,"Lukoschuscoptes"
"UMZM",36,NA,NA,NA,NA,NA,NA,NA,NA,"Endeostigmata",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"suborder",NA,NA,NA,NA,NA,NA,NA,"Endeostigmata"
"UMZM",37,NA,NA,NA,NA,NA,NA,NA,NA,"Alicorhagiida OConnor, 1984",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,"OConnor, 1984",NA,NA,NA,NA,NA,"Alicorhagiida"
"UMZM",38,NA,NA,NA,NA,NA,NA,NA,NA,"Alicorhagioidea Grandjean, 1939",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,"Alicorhagioidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Grandjean, 1939",NA,NA,NA,NA,NA,"Alicorhagioidea"
"UMZM",39,NA,NA,NA,NA,NA,NA,NA,NA,"Alicorhagiidae Grandjean, 1939",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Alicorhagiida",NA,"Alicorhagioidea","Alicorhagiidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Grandjean, 1939",NA,NA,NA,NA,NA,"Alicorhagiidae"
"UMZM",40,NA,NA,NA,NA,NA,NA,NA,NA,"Bimichaliida OConnor, 1984",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,"OConnor, 1984",NA,NA,NA,NA,NA,"Bimichaliida"
"UMZM",41,NA,NA,NA,NA,NA,NA,NA,NA,"Alycoidea G. Canestrini & Fanzago, 1877",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"G. Canestrini & Fanzago, 1877",NA,NA,NA,NA,NA,"Alycoidea"
"UMZM",42,NA,NA,NA,NA,NA,NA,NA,NA,"Alycidae G. Canestrini & Fanzago, 1877",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Alycidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"G. Canestrini & Fanzago, 1877",NA,NA,NA,NA,NA,"Alycidae"
"UMZM",43,NA,NA,NA,NA,NA,NA,NA,NA,"Nanorchestidae Grandjean, 1937",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Nanorchestidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Grandjean, 1937",NA,NA,NA,NA,NA,"Nanorchestidae"
"UMZM",44,NA,NA,NA,NA,NA,NA,NA,NA,"Proterorhagiidae Lindquist & Palacios-Vargas, 1991",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Bimichaliida",NA,"Alycoidea","Proterorhagiidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Lindquist & Palacios-Vargas, 1991",NA,NA,NA,NA,NA,"Proterorhagiidae"
"UMZM",45,NA,NA,NA,NA,NA,NA,NA,NA,"Nematalycina Lindquist, Krantz & Walter, 2009",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"infraorder",NA,"Lindquist, Krantz & Walter, 2009",NA,NA,NA,NA,NA,"Nematalycina"
"UMZM",46,NA,NA,NA,NA,NA,NA,NA,NA,"Nematalycoidea Strenke, 1954",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,"Nematalycoidea",NA,NA,NA,NA,NA,NA,NA,NA,"superfamily",NA,"Strenke, 1954",NA,NA,NA,NA,NA,"Nematalycoidea"
"UMZM",47,NA,NA,NA,NA,NA,NA,NA,NA,"Micropsammidae Coineau & Theron, 1983",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,"Nematalycoidea","Micropsammidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Coineau & Theron, 1983",NA,NA,NA,NA,NA,"Micropsammidae"
"UMZM",48,NA,NA,NA,NA,NA,NA,NA,NA,"Nematalycidae Strenke, 1954",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Endeostigmata","Nematalycina",NA,"Nematalycoidea","Nematalycidae",NA,NA,NA,NA,NA,NA,NA,"family",NA,"Strenke, 1954",NA,NA,NA,NA,NA,"Nematalycidae"
