"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus"
"BOTH",2183589,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183731",NA,"Rhipicephalus neavei Santos Dias, 1956","Santos Dias, 1956","Rhipicephalus neavei","Rhipicephalus","neavei",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",8317074,"7ddf754f-d193-4cc9-b351-99906754a03b","2183844","2183629",NA,"Rhipicephalus lunulatus Santos Dias, 1955","Santos Dias, 1955","Rhipicephalus lunulatus","Rhipicephalus","lunulatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Rhipicephalus"
"BOTH",5174528,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184244",NA,"Aponomma laeve Warburton, 1910","Warburton, 1910","Aponomma laeve","Aponomma","laeve",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",2184256,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2184255",NA,"Amblyomma fuscula Jacob, 1924","Jacob, 1924","Amblyomma fuscula","Amblyomma","fuscula",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",8158208,"7ddf754f-d193-4cc9-b351-99906754a03b","7967293","2183952",NA,"Amblyomma exophtalmum Mendez Arocha & Ortiz, 1958","Mendez Arocha & Ortiz, 1958","Amblyomma exophtalmum","Amblyomma","exophtalmum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Amblyomma"
"BOTH",7410391,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183164",NA,"Haemaphysalis papuana Anastos, 1950","Anastos, 1950","Haemaphysalis papuana","Haemaphysalis","papuana",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",7919306,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183234",NA,"Haemaphysalis cornigera Keegan & Toshioka, 1957","Keegan & Toshioka, 1957","Haemaphysalis cornigera","Haemaphysalis","cornigera",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",7641130,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183228",NA,"Haemaphysalis darjeeling Tanskul & Inlao, 1989","Tanskul & Inlao, 1989","Haemaphysalis darjeeling","Haemaphysalis","darjeeling",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",2182531,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","2182529",NA,"Ixodes armenicus Tumanyan, Ananyan & Chubkova, 1968","Tumanyan, Ananyan & Chubkova, 1968","Ixodes armenicus","Ixodes","armenicus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",2182949,"7ddf754f-d193-4cc9-b351-99906754a03b","2183512","2182943",NA,"Hyalomma aegypticum Jaschke, 1933","Jaschke, 1933","Hyalomma aegypticum","Hyalomma","aegypticum",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Hyalomma"
"BOTH",2182957,"7ddf754f-d193-4cc9-b351-99906754a03b","2183512","2182943",NA,"Amblyomma aegyptium Rickman, 1908","Rickman, 1908","Amblyomma aegyptium","Amblyomma","aegyptium",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Hyalomma"
"BOTH",6184585,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183450",NA,"Dermacentor varius kamtschadalus Schulze, 1933","Schulze, 1933","Dermacentor varius kamtschadalus","Dermacentor","varius","kamtschadalus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",7840613,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183446",NA,"Dermacentor atrosignatus Arthur, 1960","Arthur, 1960","Dermacentor atrosignatus","Dermacentor","atrosignatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",6184587,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183450",NA,"Dermacentor albipictus kamshadalus Arthur, 1960","Arthur, 1960","Dermacentor albipictus kamshadalus","Dermacentor","albipictus","kamshadalus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",6184589,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183450",NA,"Dermacentor variegatus kamshadalus Arthur, 1960","Arthur, 1960","Dermacentor variegatus kamshadalus","Dermacentor","variegatus","kamshadalus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",6184590,"7ddf754f-d193-4cc9-b351-99906754a03b","2184370","2183450",NA,"Dermacentor variegatus kamtschadalus Olenev, 1931","Olenev, 1931","Dermacentor variegatus kamtschadalus","Dermacentor","variegatus","kamtschadalus","subspecies",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Dermacentor"
"BOTH",2183149,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183147",NA,"Haemaphysalis hispinosa Neumann, 1897","Neumann, 1897","Haemaphysalis hispinosa","Haemaphysalis","hispinosa",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
"BOTH",5174085,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174079",NA,"Ixodes tordi Armstrong, 1953","Armstrong, 1953","Ixodes tordi","Ixodes","tordi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",8233805,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174245",NA,"Ixodes cookei Eads, Menzies & Hightower, 1956","Eads, Menzies & Hightower, 1956","Ixodes cookei","Ixodes","cookei",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",8334383,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174379",NA,"Ixodes percavatus Zumpt, 1952","Zumpt, 1952","Ixodes percavatus","Ixodes","percavatus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",8264614,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174046",NA,"Ixodes schillingsi Rageau, 1954","Rageau, 1954","Ixodes schillingsi","Ixodes","schillingsi",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",8023259,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174182",NA,"Ixodes cordifer Roberts, 1955","Roberts, 1955","Ixodes cordifer","Ixodes","cordifer",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",7867989,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","2182724",NA,"Ixodes festai Arthur, 1958","Arthur, 1958","Ixodes festai","Ixodes","festai",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",5174381,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174379",NA,"Ixodes thoracicus Neumann, 1899","Neumann, 1899","Ixodes thoracicus","Ixodes","thoracicus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",5174249,"7ddf754f-d193-4cc9-b351-99906754a03b","8326529","5174246",NA,"Ixodes happinus Yajima, 1955","Yajima, 1955","Ixodes happinus","Ixodes","happinus",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Ixodes"
"BOTH",7439008,"7ddf754f-d193-4cc9-b351-99906754a03b","2184365","2183299",NA,"Haemaphysalis bispinosa Rageau & Vervent, 1959","Rageau & Vervent, 1959","Haemaphysalis bispinosa","Haemaphysalis","bispinosa",NA,"species",NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Ixodida","Ixodidae","Haemaphysalis"
