"Dataset","taxonID","datasetID","parentNameUsageID","acceptedNameUsageID","originalNameUsageID","scientificName","scientificNameAuthorship","canonicalName","genericName","specificEpithet","infraspecificEpithet","taxonRank","nameAccordingTo","namePublishedIn","taxonomicStatus","nomenclaturalStatus","taxonRemarks","kingdom","phylum","class","order","family","genus","TPTdataset","TPTID","scientificNameID","nameAccordingToID","namePublishedInID","taxonConceptID","acceptedNameUsage","parentNameUsage","originalNameUsage","namePublishedInYear","higherClassification","subgenus","verbatimTaxonRank","vernacularName","nomenclaturalCode","reason"
"NEW","11088637","7ddf754f-d193-4cc9-b351-99906754a03b","2194436",NA,NA,"Hoplophorella miranda (Niedbala, 1988)","(Niedbala, 1988)","Hoplophorella miranda","Hoplophorella","miranda",NA,"species",NA,NA,"doubtful",NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Phthiracaridae","Hoplophorella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"NEW","11101322","7ddf754f-d193-4cc9-b351-99906754a03b","2194344",NA,NA,"Hoplophthiracarus glennieensis (Niedbala, 2006)","(Niedbala, 2006)","Hoplophthiracarus glennieensis","Hoplophthiracarus","glennieensis",NA,"species",NA,NA,"doubtful",NA,"Possible variant of Hoplophthiracarus glennieensis (Niedbala, 2006)","Animalia","Arthropoda",NA,"Sarcoptiformes","Phthiracaridae","Hoplophthiracarus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184536","7ddf754f-d193-4cc9-b351-99906754a03b","2184412","2184535",NA,"Alectorobius denmarki Morel, 1967","Morel, 1967","Alectorobius denmarki","Alectorobius","denmarki",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,"Carios denmarki",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","9455401","4dd32523-a3a3-43b7-84df-4cda02f15cf7","4406479","9503315","9429021","Pteronyssus subtruncatus (Trouessart, 1885)","(Trouessart, 1885)","Pteronyssus subtruncatus","Pteronyssus","subtruncatus",NA,"species",NA,NA,"proparte synonym",NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Pteronyssidae","Sturnotrogus",NA,NA,NA,NA,NA,NA,"Sturnotrogus subtruncatus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","10446018","4dd32523-a3a3-43b7-84df-4cda02f15cf7","2188288","10597572",NA,"Hyletastes missouriensis Ewing, 1909","Ewing, 1909","Hyletastes missouriensis","Hyletastes","missouriensis",NA,"species",NA,NA,"proparte synonym",NA,NA,"Animalia","Arthropoda",NA,"Mesostigmata","Laelapidae","Gymnolaelaps",NA,NA,NA,NA,NA,NA,"Gymnolaelaps missouriensis",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","5174959","7ddf754f-d193-4cc9-b351-99906754a03b","2194436","10852295",NA,"Notophthiracarus baloghi (Niedbala, 2004)","(Niedbala, 2004)","Notophthiracarus baloghi","Notophthiracarus","baloghi",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Phthiracaridae","Hoplophorella",NA,NA,NA,NA,NA,NA,"Hoplophorella clavatosensillus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","10662837","7ddf754f-d193-4cc9-b351-99906754a03b","2184412","2184640",NA,"Ornithodoros aragaoi Fonseca, 1960","Fonseca, 1960","Ornithodoros aragaoi","Ornithodoros","aragaoi",NA,"species",NA,NA,"heterotypic synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,"Carios aragaoi",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","7040874","7ddf754f-d193-4cc9-b351-99906754a03b","2184722","8969186",NA,"Ornithodoros porcinus porcinus","Clifford, Kohls & Sonenshine, 1964","Ornithodoros porcinus porcinus","Ornithodoros","porcinus","porcinus","subspecies",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Ornithodoros",NA,NA,NA,NA,NA,NA,"Ornithodoros porcinus porcinus",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","2184688","7ddf754f-d193-4cc9-b351-99906754a03b","2184412","2184685",NA,"Alectorobius coniceps Pocock, 1909","Pocock, 1909","Alectorobius coniceps","Alectorobius","coniceps",NA,"species",NA,NA,"synonym",NA,NA,"Animalia","Arthropoda",NA,"Ixodida","Argasidae","Carios",NA,NA,NA,NA,NA,NA,"Carios coniceps",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
"BOTH","9233143","90d9e8a6-0ce1-472d-b682-3451095dbc5a","4547815","4547818",NA,"Proctophyllodes bureschi Vassilev, 1958","Vassilev, 1958","Proctophyllodes bureschi","Proctophyllodes","bureschi",NA,"species",NA,NA,"proparte synonym",NA,NA,"Animalia","Arthropoda",NA,"Sarcoptiformes","Proctophyllodidae","Alaudicola",NA,NA,NA,NA,NA,NA,"Alaudicola bureschi",NA,NA,NA,NA,NA,NA,NA,NA,"duplicate"
