"TPTdataset","TPTID","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","subclass","superorder","order","suborder","infraorder","hyporder","superfamily","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","verbatimTaxonRank","scientificNameAuthorship","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","canonicalName"
"UMZM",2083,NA,NA,NA,NA,NA,NA,NA,NA,"Vandeinella Haitlinger, 1989",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Canestrinioidea","Canestriniidae",NA,NA,NA,"Vandeinella",NA,NA,NA,"genus",NA,"Haitlinger, 1989",NA,NA,NA,NA,NA,"Vandeinella"
"UMZM",2084,NA,NA,NA,NA,NA,NA,NA,NA,"Vandeinella Haitlinger, 1991",NA,NA,NA,NA,NA,NA,NA,"Animalia","Arthropoda","Arachnida","Acari","Acariformes","Sarcoptiformes","Oribatida","Desmonomata","Astigmata","Canestrinioidea","Canestriniidae",NA,NA,NA,"Vandeinella",NA,NA,NA,"genus",NA,"Haitlinger, 1991",NA,NA,NA,NA,NA,"Vandeinella"
